Handle Count, Page File Bytes, Virtual Bytes, Working Set
246, 11378688, 4589969408, 23052288
246, 12423168, 4591017984, 24252416
246, 15278080, 4591017984, 24932352
246, 13881344, 4591017984, 24399872
246, 12533760, 4591017984, 23728128
246, 12771328, 4591017984, 23474176
246, 13504512, 4591017984, 23609344
246, 13385728, 4591017984, 23326720
246, 12165120, 4591017984, 24559616
246, 13885440, 4591017984, 24739840
246, 11739136, 4591017984, 23973888
246, 13524992, 4591017984, 23617536
246, 14315520, 4591017984, 23695360
246, 16072704, 4591017984, 25272320
246, 16613376, 4591017984, 24821760
246, 13922304, 4591017984, 24334336
246, 11419648, 4591017984, 23949312
246, 18714624, 4591017984, 25014272
246, 12935168, 4591017984, 23719936
246, 19787776, 4591017984, 24600576
246, 15601664, 4591017984, 24420352
246, 15986688, 4591017984, 24559616
246, 14897152, 4591017984, 24817664
246, 17219584, 4591017984, 25092096
246, 16945152, 4591017984, 24936448
246, 19099648, 4591017984, 25444352
246, 12513280, 4591017984, 24260608
246, 13111296, 4591017984, 24358912
246, 16236544, 4591017984, 25776128
246, 15929344, 4591017984, 24416256
246, 13959168, 4591017984, 24616960
246, 17281024, 4591017984, 24866816
246, 15437824, 4591017984, 25047040
246, 14176256, 4591017984, 24870912
246, 12025856, 4591017984, 24424448
246, 13975552, 4591017984, 24432640
246, 59604992, 4591017984, 48242688
246, 61227008, 4591017984, 49881088
246, 14979072, 4591017984, 26009600
246, 15179776, 4591017984, 25391104
246, 59346944, 4591017984, 48021504
246, 61640704, 4591017984, 50323456
246, 60542976, 4591017984, 51384320
246, 56762368, 4591017984, 50122752
246, 55869440, 4591017984, 49950720
246, 14733312, 4591017984, 25014272
246, 54317056, 4591017984, 46788608
246, 54140928, 4591017984, 49577984
246, 54599680, 4591017984, 50651136
246, 56471552, 4591017984, 52129792
246, 57847808, 4591017984, 52883456
246, 15634432, 4591017984, 25976832
246, 16412672, 4591017984, 24924160
246, 56274944, 4591017984, 47452160
246, 57331712, 4591017984, 49393664
246, 60452864, 4591017984, 51216384
246, 59650048, 4591017984, 51425280
246, 60067840, 4591017984, 53612544
246, 59785216, 4591017984, 52662272
246, 58863616, 4591017984, 51740672
246, 59404288, 4591017984, 52789248
246, 62222336, 4591017984, 54038528
246, 60084224, 4591017984, 53440512
246, 60002304, 4591017984, 53334016
246, 12124160, 4591017984, 24838144
246, 62406656, 4591017984, 49033216
246, 62414848, 4591017984, 50966528
246, 62414848, 4591017984, 52060160
246, 62414848, 4591017984, 52228096
246, 60805120, 4591017984, 52228096
246, 59994112, 4591017984, 52224000
246, 60289024, 4591017984, 52424704
246, 59207680, 4591017984, 52199424
246, 58130432, 4591017984, 53395456
246, 56352768, 4591017984, 53288960
246, 58847232, 4591017984, 53997568
246, 17121280, 4591017984, 26411008
246, 57651200, 4591017984, 48898048
246, 13250560, 4591017984, 24576000
246, 57532416, 4591017984, 48082944
246, 58642432, 4591017984, 50749440
246, 59228160, 4591017984, 51572736
246, 59355136, 4591017984, 51826688
246, 57950208, 4591017984, 50438144
246, 58490880, 4591017984, 50884608
246, 60149760, 4591017984, 51785728
246, 56795136, 4591017984, 50925568
246, 58716160, 4591017984, 51159040
246, 59215872, 4591017984, 51658752
246, 58798080, 4591017984, 52113408
246, 57741312, 4591017984, 51867648
246, 59686912, 4591017984, 52240384
248, 57741312, 4593115136, 51871744
248, 58949632, 4593115136, 52281344
248, 57921536, 4593115136, 52076544
248, 58740736, 4593115136, 52088832
248, 58880000, 4593115136, 52457472
248, 60100608, 4593115136, 52875264
248, 57311232, 4593115136, 52375552
248, 55951360, 4593115136, 51773440
248, 58716160, 4593115136, 52256768
248, 58773504, 4593115136, 52981760
248, 58449920, 4593115136, 52768768
248, 59187200, 4593115136, 52981760
248, 59183104, 4593115136, 52944896
248, 57982976, 4593115136, 52633600
248, 61734912, 4593115136, 53030912
248, 61067264, 4593115136, 54284288
248, 61870080, 4593115136, 54333440
248, 61063168, 4593115136, 55263232
248, 59981824, 4593115136, 55140352
248, 58933248, 4593115136, 55001088
248, 57561088, 4593115136, 54296576
248, 59740160, 4593115136, 54128640
248, 58036224, 4593115136, 53305344
248, 58159104, 4593115136, 53952512
248, 59068416, 4593115136, 54235136
248, 61779968, 4593115136, 54566912
248, 59658240, 4593115136, 54104064
248, 59330560, 4593115136, 53788672
248, 61874176, 4593115136, 53948416
248, 61079552, 4593115136, 54951936
248, 62693376, 4609695744, 55357440
248, 62693376, 4609695744, 55803904
248, 62693376, 4609695744, 56848384
248, 62693376, 4609695744, 57061376
248, 62693376, 4609695744, 57069568
248, 15249408, 4609695744, 25690112
248, 61538304, 4609695744, 48484352
248, 62369792, 4609695744, 50618368
248, 61300736, 4609695744, 51654656
248, 15650816, 4609695744, 25202688
248, 62296064, 4609695744, 48955392
248, 63045632, 4609695744, 52051968
248, 63062016, 4609695744, 52822016
248, 63062016, 4609695744, 52895744
248, 63062016, 4609695744, 52924416
248, 63062016, 4609695744, 53563392
248, 13963264, 4609695744, 24449024
248, 62763008, 4609695744, 49147904
248, 62771200, 4609695744, 51458048
248, 62783488, 4609695744, 51884032
248, 62783488, 4609695744, 52035584
248, 62783488, 4609695744, 52396032
248, 62787584, 4609695744, 52527104
248, 62787584, 4609695744, 52551680
248, 62787584, 4609695744, 52568064
248, 62922752, 4609695744, 54145024
248, 62922752, 4609695744, 54226944
248, 62922752, 4609695744, 54550528
248, 62922752, 4609695744, 55771136
248, 62922752, 4609695744, 56000512
248, 62922752, 4609695744, 56709120
248, 62922752, 4609695744, 56803328
248, 61849600, 4609695744, 55861248
248, 62787584, 4609695744, 56020992
248, 62787584, 4609695744, 56049664
248, 62787584, 4609695744, 56078336
248, 62787584, 4609695744, 56193024
248, 62922752, 4609695744, 56721408
248, 63332352, 4609695744, 57077760
248, 61181952, 4609695744, 56602624
248, 62787584, 4609695744, 56619008
248, 62787584, 4609695744, 56619008
