Handle Count, Page File Bytes, Virtual Bytes, Working Set
231, 9777152, 4529938432, 19832832
231, 10002432, 4534132736, 19984384
231, 10035200, 4534132736, 20029440
231, 10051584, 4534132736, 20041728
231, 10518528, 4534132736, 20295680
231, 10387456, 4534132736, 20336640
231, 10981376, 4534132736, 20357120
231, 12087296, 4534132736, 20692992
231, 10231808, 4534132736, 20213760
233, 11554816, 4536229888, 20639744
233, 11554816, 4536229888, 20664320
233, 11554816, 4536229888, 20652032
233, 11554816, 4536229888, 20668416
233, 11685888, 4536229888, 20738048
233, 11685888, 4536229888, 20758528
233, 10526720, 4536229888, 20447232
233, 10514432, 4536229888, 20443136
233, 11591680, 4536229888, 20733952
233, 11685888, 4536229888, 20791296
233, 11685888, 4536229888, 20766720
233, 11685888, 4536229888, 20791296
233, 11685888, 4536229888, 20766720
233, 11685888, 4536229888, 20762624
235, 11579392, 4533084160, 20684800
235, 11579392, 4533084160, 20684800
235, 11579392, 4533084160, 20684800
235, 11579392, 4533084160, 20676608
235, 11579392, 4533084160, 20684800
235, 11583488, 4533084160, 20688896
235, 11583488, 4533084160, 20692992
235, 11571200, 4533084160, 20692992
235, 11583488, 4533084160, 20738048
235, 11583488, 4533084160, 20738048
235, 11583488, 4533084160, 20766720
235, 11714560, 4533084160, 20856832
235, 11714560, 4533084160, 20844544
235, 12038144, 4533084160, 20803584
235, 11816960, 4533084160, 20877312
235, 11816960, 4533084160, 20881408
235, 11816960, 4533084160, 20893696
235, 11816960, 4533084160, 20893696
235, 11816960, 4533084160, 20889600
235, 11816960, 4533084160, 20959232
235, 11816960, 4533084160, 20946944
235, 11800576, 4533084160, 20905984
235, 11816960, 4533084160, 20918272
235, 11816960, 4533084160, 20905984
235, 11816960, 4533084160, 20914176
235, 11816960, 4533084160, 20893696
235, 12038144, 4533084160, 21164032
235, 11796480, 4533084160, 20893696
235, 11816960, 4533084160, 20922368
235, 11816960, 4533084160, 20918272
235, 11796480, 4533084160, 20905984
235, 11816960, 4533084160, 20926464
235, 10649600, 4533084160, 20602880
235, 11796480, 4533084160, 20897792
235, 11796480, 4533084160, 20893696
235, 11816960, 4533084160, 20922368
235, 11816960, 4533084160, 20914176
235, 11816960, 4533084160, 20926464
235, 11816960, 4533084160, 20905984
235, 11816960, 4533084160, 20926464
235, 11816960, 4533084160, 20905984
235, 11816960, 4533084160, 20926464
235, 11816960, 4533084160, 20910080
235, 11816960, 4533084160, 20926464
235, 11804672, 4533084160, 20905984
235, 10588160, 4533084160, 20656128
235, 12812288, 4533084160, 21716992
235, 10874880, 4533084160, 20946944
